               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   6,            0.023221,           0.0083959,           9.748e-05,             0.95819,             0.93452,             0.96372,             0.73936,            0.018349,             0.00576,          7.9148e-05,           0.0023917,           0.0023917,            0.077992
                   7,            0.024039,           0.0083207,          9.7171e-05,             0.95838,             0.92976,             0.96284,             0.72378,            0.018788,           0.0059217,          8.7219e-05,           0.0027256,           0.0027256,            0.074826
                   8,            0.023283,           0.0080944,          0.00010523,             0.95765,             0.93948,              0.9655,             0.72453,            0.019489,           0.0058743,          9.0874e-05,           0.0030571,           0.0030571,            0.071657
                   9,            0.023689,           0.0084323,          0.00012002,             0.95419,             0.93241,              0.9649,             0.72129,             0.02048,           0.0059421,          0.00010776,           0.0033863,           0.0033863,            0.068486
                  10,            0.023462,           0.0082714,          0.00013383,             0.95019,             0.94002,             0.96582,             0.72791,            0.019093,           0.0058851,          0.00012223,           0.0037133,           0.0037133,            0.065313
                  11,            0.024373,           0.0085706,          0.00013805,             0.95994,             0.93144,             0.96576,             0.73602,            0.019398,           0.0060205,          0.00012175,           0.0040379,           0.0040379,            0.062138
                  12,            0.024298,           0.0083752,          0.00015655,             0.96038,             0.93428,             0.96501,             0.72093,            0.019818,           0.0059579,          0.00012974,           0.0043602,           0.0043602,             0.05896
                  13,            0.024268,           0.0084484,          0.00016253,             0.95368,             0.92186,             0.95986,             0.69315,            0.021378,           0.0062481,          0.00015118,           0.0046802,           0.0046802,             0.05578
                  14,             0.02539,            0.008865,          0.00017724,             0.94051,             0.93115,             0.95883,             0.71266,            0.020658,           0.0062269,          0.00015485,           0.0049979,           0.0049979,            0.052598
                  15,             0.02546,           0.0086247,          0.00016614,             0.94733,             0.93116,             0.96322,             0.69022,            0.021058,           0.0061999,          0.00015173,           0.0053133,           0.0053133,            0.049413
                  16,            0.026137,           0.0089057,          0.00017438,             0.95057,             0.92616,             0.96237,             0.69707,            0.020909,           0.0061505,          0.00016602,           0.0056264,           0.0056264,            0.046226
                  17,            0.025567,           0.0090359,          0.00020851,             0.92412,              0.9276,             0.95534,             0.66194,            0.023689,           0.0066326,          0.00017961,           0.0059371,           0.0059371,            0.043037
                  18,            0.030793,           0.0092671,          0.00024206,             0.93466,             0.93497,              0.9607,              0.6924,            0.022087,            0.006446,          0.00025668,           0.0062456,           0.0062456,            0.039846
                  19,            0.032411,            0.009435,          0.00033308,             0.95296,             0.92833,             0.96252,             0.67359,            0.023297,           0.0065068,          0.00030202,           0.0065517,           0.0065517,            0.036652
                  20,            0.032479,           0.0097214,          0.00035688,             0.92315,             0.90241,             0.94222,              0.6551,            0.024763,           0.0069581,          0.00035729,           0.0068556,           0.0068556,            0.033456
                  21,            0.030737,            0.009592,          0.00037936,             0.94323,             0.91652,             0.95645,             0.64894,            0.023413,           0.0067089,          0.00037599,           0.0071571,           0.0071571,            0.030257
                  22,            0.030254,           0.0094588,          0.00037616,             0.94858,             0.92334,             0.96165,              0.6751,            0.022683,           0.0066524,          0.00033563,           0.0074563,           0.0074563,            0.027056
                  23,            0.029542,           0.0095461,          0.00044284,             0.94057,             0.88234,             0.94257,             0.65035,            0.025107,           0.0071526,          0.00032486,           0.0077532,           0.0077532,            0.023853
                  24,            0.032893,            0.010235,          0.00042122,              0.9473,             0.89446,             0.94839,             0.65679,            0.024177,            0.006861,          0.00031712,           0.0080478,           0.0080478,            0.020648
                  25,            0.030224,           0.0094764,          0.00044422,             0.92356,             0.89879,             0.94284,             0.62887,            0.025421,           0.0072928,          0.00033848,           0.0083401,           0.0083401,             0.01744
                  26,            0.031772,           0.0099353,          0.00039591,             0.93853,             0.90227,             0.94904,             0.64136,            0.025038,           0.0071277,          0.00034252,             0.00863,             0.00863,             0.01423
                  27,            0.031924,            0.010347,          0.00046257,             0.93747,             0.86854,             0.93628,             0.62151,              0.0254,           0.0077552,          0.00035484,           0.0089177,           0.0089177,            0.011018
                  28,            0.030998,           0.0097043,           0.0005089,              0.9143,             0.85883,             0.92189,             0.61987,             0.02698,           0.0076452,          0.00037457,            0.009076,            0.009076,            0.009076
